rate,values,time
1.15377,Euro to American dollar,09/01/2019 20:00:02
0.902245,Euro to pound sterling,09/01/2019 20:00:02
1.12546,Euro to Swiss franc,09/01/2019 20:00:02
1.52394,Euro to Canadian dollar,09/01/2019 20:00:02
1.60599,Euro to Australian dollar,09/01/2019 20:00:02
1.69637,Euro to New Zealand dollar,09/01/2019 20:00:02
124.925,Euro to Japanese yen,09/01/2019 20:00:02
9.76618,Euro to Norwegian krone,09/01/2019 20:00:02
76.9796,Euro to Russian ruble,09/01/2019 20:00:02
10.2322,Euro to Swedish krona,09/01/2019 20:00:02
1.56141,Euro to Singapore dollar,09/01/2019 20:00:02
6.31612,Euro to Turkish lira,09/01/2019 20:00:02
16.0087,Euro to South African rand,09/01/2019 20:00:02
9.04253,Euro to Hong Kong dollar,09/01/2019 20:00:02
7.8568,Euro to Renminbi,09/01/2019 20:00:02
7.46638,Euro to Danish krone,09/01/2019 20:00:02
22.1878,Euro to Mexican peso,09/01/2019 20:00:02
4.29829,Euro to Polish złoty,09/01/2019 20:00:02
0.0735341,Silver value in Euro,09/01/2019 20:00:02
8.93635E-4,Gold value in Euro,09/01/2019 20:00:02
2.85129E-4,Euro to Bitcoin,09/01/2019 20:00:02
0.00764073,Euro to Ether,09/01/2019 20:00:02
0.0293799,Euro to Litecoin,09/01/2019 20:00:02
3.16829,Euro to XRP,09/01/2019 20:00:02
0.0130415,Euro to Dashcoin,09/01/2019 20:00:02
0.00725405,Euro to Bitcoin Cash,09/01/2019 20:00:02
1.15453,Euro to American dollar,09/01/2019 20:00:29
0.90261,Euro to pound sterling,09/01/2019 20:00:29
1.12576,Euro to Swiss franc,09/01/2019 20:00:29
1.52459,Euro to Canadian dollar,09/01/2019 20:00:29
1.60605,Euro to Australian dollar,09/01/2019 20:00:29
1.69648,Euro to New Zealand dollar,09/01/2019 20:00:29
124.9665,Euro to Japanese yen,09/01/2019 20:00:29
9.76444,Euro to Norwegian krone,09/01/2019 20:00:29
77.0089,Euro to Russian ruble,09/01/2019 20:00:29
10.2342,Euro to Swedish krona,09/01/2019 20:00:29
1.56202,Euro to Singapore dollar,09/01/2019 20:00:29
6.31827,Euro to Turkish lira,09/01/2019 20:00:29
16.0149,Euro to South African rand,09/01/2019 20:00:29
9.04874,Euro to Hong Kong dollar,09/01/2019 20:00:29
7.86149,Euro to Renminbi,09/01/2019 20:00:29
7.46646,Euro to Danish krone,09/01/2019 20:00:29
22.1991,Euro to Mexican peso,09/01/2019 20:00:29
4.29879,Euro to Polish złoty,09/01/2019 20:00:29
0.0734811,Silver value in Euro,09/01/2019 20:00:29
8.93721E-4,Gold value in Euro,09/01/2019 20:00:29
2.85292E-4,Euro to Bitcoin,09/01/2019 20:00:29
0.00764491,Euro to Ether,09/01/2019 20:00:29
0.02937,Euro to Litecoin,09/01/2019 20:00:29
3.16767,Euro to XRP,09/01/2019 20:00:29
0.0130434,Euro to Dashcoin,09/01/2019 20:00:29
0.00725625,Euro to Bitcoin Cash,09/01/2019 20:00:29
1.15531,Euro to American dollar,09/01/2019 20:00:55
0.90288,Euro to pound sterling,09/01/2019 20:00:55
1.12563,Euro to Swiss franc,09/01/2019 20:00:55
1.52489,Euro to Canadian dollar,09/01/2019 20:00:55
1.60669,Euro to Australian dollar,09/01/2019 20:00:55
1.69701,Euro to New Zealand dollar,09/01/2019 20:00:55
124.953,Euro to Japanese yen,09/01/2019 20:00:55
9.7646,Euro to Norwegian krone,09/01/2019 20:00:55
