index,movie_title,release_date,genre,inflation_adjusted_gross,divided
0,Snow White and the Seven Dwarfs,1937,Musical,5228953251,5228953,251
1,Pinocchio,1940,Adventure,2188229052,2188229,052
2,Fantasia,1940,Musical,2187090808,2187090,808
3,Song of the South,1946,Adventure,1078510579,1078510,579
4,Cinderella,1950,Drama,920608730,920608,73
5,20000 Leagues Under the Sea,1954,Adventure,528279994,528279,994
6,Lady and the Tramp,1955,Drama,1236035515,1236035,515
7,Sleeping Beauty,1959,Drama,21505832,21505,832
8,101 Dalmatians,1961,Comedy,1362870985,1362870,985
9,The Absent Minded Professor,1961,Comedy,310094574,310094,574
10,Babes in Toyland,1961,Musical,124841160,124841,16
11,Bon Voyage!,1962,Comedy,109581646,109581,646
12,The Sword in the Stone,1963,Adventure,153870834,153870,834
13,The Jungle Book,1967,Musical,789612346,789612,346
14,Blackbeards Ghost,1968,Comedy,138612686,138612,686
15,The Aristocats,1970,Musical,255161499,255161,499
16,The Boatniks,1970,Comedy,101200742,101200,742
17,Bedknobs and Broomsticks,1971,Musical,91305448,91305,448
18,The Apple Dumpling Gang,1975,Comedy,131246872,131246,872
19,Freaky Friday,1977,Comedy,98067733,98067,733
20,The Many Adventures of Winnie the Pooh,1977,Unknown,0,0
21,The Rescuers,1977,Adventure,159743914,159743,914
22,Herbie Goes to Monte Carlo,1977,Unknown,105847527,105847,527
23,The Black Hole,1979,Unknown,120377374,120377,374
24,Midnight Madness,1980,Unknown,9088096,9088,096
25,The Last Flight of Noah’s Ark,1980,Unknown,34472116,34472,116
26,The Devil and Max Devlin,1981,Unknown,48517980,48517,98
27,Amy,1981,Drama,0,0
28,The Fox and the Hound,1981,Comedy,133118889,133118,889
29,Condorman,1981,Action,0,0
30,Night Crossing,1982,Drama,12903059,12903,059
31,Tron,1982,Action,77184895,77184,895
32,Tex,1982,Drama,20643199,20643,199
33,Trenchcoat,1983,Comedy,11519089,11519,089
34,Something Wicked This Way Comes,1983,Horror,15136765,15136,765
35,Never Cry Wolf,1983,Drama,70669955,70669,955
36,Running Brave,1983,Drama,3223725,3223,725
37,Splash,1984,Comedy,157057661,157057,661
38,Country,1984,Drama,21075000,21075
39,Baby: Secret of the Lost Legend,1985,Adventure,33900697,33900,697
40,Return to Oz,1985,Adventure,25215934,25215,934
41,The Black Cauldron,1985,Adventure,50553142,50553,142
42,My Science Project,1985,Comedy,9736051,9736,051
43,The Journey of Natty Gann,1985,Drama,22302956,22302,956
44,One Magic Christmas,1985,Drama,31415432,31415,432
45,Down and Out in Beverly Hills,1986,Comedy,141183693,141183,693
46,Off Beat,1986,Comedy,11003932,11003,932
47,Ruthless People,1986,Comedy,162748712,162748,712
48,The Great Mouse Detective,1986,Adventure,53637367,53637,367
49,Flight of the Navigator,1986,Adventure,42183197,42183,197
50,Tough Guys,1986,Comedy,48758184,48758,184
51,The Color of Money,1986,Drama,117957323,117957,323
52,Outrageous Fortune,1987,Comedy,113976921,113976,921
53,Tin Men,1987,Comedy,54787202,54787,202
54,Ernest Goes to Camp,1987,Comedy,50686462,50686,462
55,Benji the Hunted,1987,Adventure,32798382,32798,382
56,Adventures in Babysitting,1987,Comedy,72853569,72853,569
57,Stakeout,1987,Comedy,141592160,141592,16
58,Cant Buy Me Love,1987,Romantic Comedy,68181300,68181,3
59,Hello Again,1987,Comedy,44024529,44024,529
60,3 Men and a Baby,1987,Comedy,353334607,353334,607
61,Good Morning Vietnam,1987,Comedy,254414837,254414,837
